timestamp,Vehicle_Type,Hydraulic_Pressure,Oil_Temperature,Actuator_Angle,Actuator_Position,Load_Weight,Hydraulic_Flow_Rate,Vibration,Operating_Hours,Battery_SOC,Battery_Temperature
2026-06-19T11:01:37.600834+00:00,DumpTruck,118.43,83.34,47.85,1004.07,2387.12,57.9,1.99,5000.0,71.27,31.07
2026-06-19T11:01:38.600834+00:00,DumpTruck,141.14,92.29,28.03,938.91,2103.71,51.59,0.95,5000.0003,61.0,42.06
2026-06-19T11:01:39.600834+00:00,DumpTruck,122.75,89.5,43.77,866.66,3249.18,44.1,1.57,5000.0006,55.42,34.99
2026-06-19T11:01:40.600834+00:00,DumpTruck,133.8,94.77,45.71,636.67,2722.52,44.62,1.14,5000.0008,87.37,28.49
2026-06-19T11:01:41.600834+00:00,DumpTruck,100.02,88.17,40.08,507.29,3033.03,42.18,1.76,5000.0011,57.24,30.87
2026-06-19T11:01:42.600834+00:00,DumpTruck,140.88,86.44,17.16,1177.3,3461.25,42.93,1.95,5000.0014,46.51,40.54
2026-06-19T11:01:43.600834+00:00,DumpTruck,147.32,80.82,20.14,1166.77,3197.26,45.73,0.83,5000.0017,69.34,43.85
2026-06-19T11:01:44.600834+00:00,DumpTruck,121.24,90.28,37.35,863.85,3557.52,49.65,1.45,5000.0019,64.58,28.22
2026-06-19T11:01:45.600834+00:00,DumpTruck,129.34,73.67,43.87,842.82,4498.38,41.66,1.79,5000.0022,73.6,27.86
2026-06-19T11:01:46.600834+00:00,DumpTruck,117.49,91.3,12.41,1372.01,4319.06,45.83,1.62,5000.0025,45.26,37.17
2026-06-19T11:01:47.600834+00:00,DumpTruck,137.1,92.46,14.66,1349.95,3630.42,44.34,0.67,5000.0028,46.63,41.19
2026-06-19T11:01:48.600834+00:00,DumpTruck,119.27,90.79,10.72,1368.96,2451.25,54.32,0.97,5000.0031,47.47,32.56
2026-06-19T11:01:49.600834+00:00,DumpTruck,115.31,70.51,21.16,965.43,2593.74,49.83,0.62,5000.0033,83.62,31.1
2026-06-19T11:01:50.600834+00:00,DumpTruck,124.93,80.44,31.15,1276.07,4481.8,50.62,1.35,5000.0036,58.83,25.45
2026-06-19T11:01:51.600834+00:00,DumpTruck,130.4,85.97,41.12,907.97,2068.92,54.4,1.42,5000.0039,83.27,42.82
2026-06-19T11:01:52.600834+00:00,DumpTruck,131.39,91.46,38.41,755.0,2706.15,41.35,0.82,5000.0042,82.2,33.51
2026-06-19T11:01:53.600834+00:00,DumpTruck,107.26,82.5,15.14,622.63,3417.51,43.82,1.48,5000.0044,88.42,27.04
2026-06-19T11:01:54.600834+00:00,DumpTruck,103.05,93.9,36.39,1202.88,2072.97,47.18,1.58,5000.0047,80.43,39.79
2026-06-19T11:01:55.600834+00:00,DumpTruck,101.89,80.03,44.47,1283.96,2371.95,56.56,1.24,5000.005,54.62,26.61
2026-06-19T11:01:56.600834+00:00,DumpTruck,111.59,80.83,37.18,899.54,4095.15,59.52,0.73,5000.0053,89.8,30.67
2026-06-19T11:01:57.600834+00:00,DumpTruck,125.96,92.4,31.61,850.45,3280.19,48.8,1.41,5000.0056,82.49,40.44
2026-06-19T11:01:58.600834+00:00,DumpTruck,105.32,73.65,39.37,1055.5,2155.33,48.59,1.63,5000.0058,68.58,40.29
2026-06-19T11:01:59.600834+00:00,DumpTruck,129.43,73.23,30.29,1136.6,2090.81,57.37,0.78,5000.0061,64.12,29.58
2026-06-19T11:02:00.600834+00:00,DumpTruck,111.95,77.31,18.3,502.43,2634.88,51.0,0.75,5000.0064,76.37,33.91
2026-06-19T11:02:01.600834+00:00,DumpTruck,108.33,79.72,40.91,727.03,2223.6,45.04,1.49,5000.0067,48.79,32.45
2026-06-19T11:02:02.600834+00:00,DumpTruck,147.93,89.68,28.22,526.45,2524.88,52.73,0.94,5000.0069,50.72,33.05
2026-06-19T11:02:03.600834+00:00,DumpTruck,106.25,70.67,36.09,1195.62,3901.34,53.01,1.75,5000.0072,60.69,43.14
2026-06-19T11:02:04.600834+00:00,DumpTruck,138.7,88.82,14.62,1237.65,4320.53,40.58,1.49,5000.0075,77.75,35.86
2026-06-19T11:02:05.600834+00:00,DumpTruck,144.9,78.14,42.65,945.56,3594.77,52.92,1.1,5000.0078,76.86,40.38
2026-06-19T11:02:06.600834+00:00,DumpTruck,136.46,89.94,39.32,1457.89,2438.07,56.22,0.98,5000.0081,42.9,26.75
2026-06-19T11:02:07.600834+00:00,DumpTruck,140.01,80.98,32.44,743.54,3363.21,42.71,1.69,5000.0083,59.62,34.67
2026-06-19T11:02:08.600834+00:00,DumpTruck,145.94,81.88,43.55,540.04,2413.74,46.54,1.23,5000.0086,55.53,26.91
2026-06-19T11:02:09.600834+00:00,DumpTruck,103.22,79.76,36.15,533.7,2559.97,48.69,1.75,5000.0089,42.66,43.78
2026-06-19T11:02:10.600834+00:00,DumpTruck,147.14,89.72,35.27,1177.03,4032.45,52.67,1.09,5000.0092,83.25,44.74
2026-06-19T11:02:11.600834+00:00,DumpTruck,135.75,80.4,26.16,1486.73,3168.91,42.29,1.51,5000.0094,57.06,28.24
2026-06-19T11:02:12.600834+00:00,DumpTruck,140.28,88.35,37.25,1040.56,2425.87,53.33,1.89,5000.0097,74.53,34.4
2026-06-19T11:02:13.600834+00:00,DumpTruck,112.11,87.57,33.29,1408.3,4369.99,51.04,0.63,5000.01,43.52,36.76
2026-06-19T11:02:14.600834+00:00,DumpTruck,141.09,73.67,46.32,533.1,2925.25,48.96,0.51,5000.0103,53.39,39.93
2026-06-19T11:02:15.600834+00:00,DumpTruck,127.57,93.8,10.79,841.94,4284.15,42.9,1.87,5000.0106,51.53,42.78
2026-06-19T11:02:16.600834+00:00,DumpTruck,106.39,73.61,16.23,510.48,3707.83,54.88,1.36,5000.0108,60.73,36.64
2026-06-19T11:02:17.600834+00:00,DumpTruck,139.3,77.57,32.44,515.01,3504.25,42.68,1.06,5000.0111,53.28,27.03
2026-06-19T11:02:18.600834+00:00,DumpTruck,110.09,72.57,26.44,570.67,2857.6,57.75,1.04,5000.0114,44.2,42.45
2026-06-19T11:02:19.600834+00:00,DumpTruck,136.52,75.78,14.75,1279.96,3527.68,49.3,1.68,5000.0117,75.1,29.07
2026-06-19T11:02:20.600834+00:00,DumpTruck,125.03,70.4,18.64,580.38,2398.66,40.71,0.82,5000.0119,65.93,40.0
2026-06-19T11:02:21.600834+00:00,DumpTruck,149.78,75.78,45.37,1123.08,2647.64,56.09,0.9,5000.0122,66.0,39.6
2026-06-19T11:02:22.600834+00:00,DumpTruck,100.99,74.94,25.87,1203.65,3790.05,57.4,1.55,5000.0125,67.85,32.04
2026-06-19T11:02:23.600834+00:00,DumpTruck,114.82,81.17,22.68,1036.43,4041.86,45.03,1.94,5000.0128,78.79,29.15
2026-06-19T11:02:24.600834+00:00,DumpTruck,148.48,86.29,26.6,1432.72,4468.67,43.91,1.0,5000.0131,50.35,39.47
2026-06-19T11:02:25.600834+00:00,DumpTruck,130.18,84.59,42.27,941.04,3018.4,54.85,1.83,5000.0133,50.98,36.22
2026-06-19T11:02:26.600834+00:00,DumpTruck,107.2,89.71,12.0,1452.17,4301.73,43.69,0.99,5000.0136,86.61,33.54
2026-06-19T11:02:27.600834+00:00,DumpTruck,131.86,89.03,19.47,1186.31,2687.6,40.6,1.83,5000.0139,53.67,44.14
2026-06-19T11:02:28.600834+00:00,DumpTruck,110.12,93.23,17.92,1427.81,2012.25,40.43,0.52,5000.0142,42.8,41.53
2026-06-19T11:02:29.600834+00:00,DumpTruck,142.99,89.53,41.2,1212.65,3740.88,56.54,1.0,5000.0144,69.8,35.27
