timestamp,Vehicle_Type,Hydraulic_Pressure,Oil_Temperature,Actuator_Angle,Actuator_Position,Load_Weight,Hydraulic_Flow_Rate,Vibration,Operating_Hours,Battery_SOC,Battery_Temperature
2026-06-19T11:01:37.633260+00:00,WheelLoader,113.78,92.0,17.29,1239.71,2314.64,56.09,1.87,5000.0,87.63,43.44
2026-06-19T11:01:38.633260+00:00,WheelLoader,112.92,79.77,29.13,858.07,4346.13,43.39,1.04,5000.0003,81.36,32.54
2026-06-19T11:01:39.633260+00:00,WheelLoader,116.69,82.42,43.23,1280.76,3769.58,54.82,0.85,5000.0006,45.74,33.17
2026-06-19T11:01:40.633260+00:00,WheelLoader,112.46,77.09,37.08,1331.95,3328.19,57.7,0.92,5000.0008,59.9,34.98
2026-06-19T11:01:41.633260+00:00,WheelLoader,126.83,77.69,48.7,933.84,3425.11,51.61,0.75,5000.0011,70.57,28.57
2026-06-19T11:01:42.633260+00:00,WheelLoader,106.04,94.65,35.22,546.23,2627.24,55.78,1.74,5000.0014,69.73,40.58
2026-06-19T11:01:43.633260+00:00,WheelLoader,143.42,70.73,37.07,565.29,4214.69,50.73,0.62,5000.0017,60.98,39.14
2026-06-19T11:01:44.633260+00:00,WheelLoader,103.45,82.45,31.65,1278.29,3038.11,57.86,0.6,5000.0019,57.96,25.89
2026-06-19T11:01:45.633260+00:00,WheelLoader,121.16,74.01,41.87,929.98,2520.3,40.21,0.66,5000.0022,49.68,43.32
2026-06-19T11:01:46.633260+00:00,WheelLoader,126.37,92.78,48.26,770.4,3858.77,54.91,1.25,5000.0025,41.26,39.07
2026-06-19T11:01:47.633260+00:00,WheelLoader,112.29,78.28,33.14,565.93,3728.35,56.99,0.95,5000.0028,70.57,35.17
2026-06-19T11:01:48.633260+00:00,WheelLoader,106.85,89.05,31.57,636.59,2033.76,55.89,1.6,5000.0031,72.59,41.32
2026-06-19T11:01:49.633260+00:00,WheelLoader,137.73,72.14,45.93,614.88,2563.74,46.18,1.93,5000.0033,76.69,44.57
2026-06-19T11:01:50.633260+00:00,WheelLoader,129.72,93.28,30.83,976.44,2517.49,49.47,1.24,5000.0036,45.79,29.47
2026-06-19T11:01:51.633260+00:00,WheelLoader,100.26,73.3,48.29,860.86,2432.71,55.39,0.98,5000.0039,76.14,41.65
2026-06-19T11:01:52.633260+00:00,WheelLoader,133.39,74.54,30.85,681.32,4171.12,48.24,0.68,5000.0042,68.88,25.96
2026-06-19T11:01:53.633260+00:00,WheelLoader,114.79,94.22,14.69,1165.96,2352.41,47.47,1.8,5000.0044,89.06,25.55
