timestamp,Vehicle_Type,Hydraulic_Pressure,Oil_Temperature,Actuator_Angle,Actuator_Position,Load_Weight,Hydraulic_Flow_Rate,Vibration,Operating_Hours,Battery_SOC,Battery_Temperature
2026-06-19T11:01:37.637796+00:00,Forklift,139.82,87.43,44.24,778.02,4325.03,59.28,1.52,5000.0,55.9,32.35
2026-06-19T11:01:38.637796+00:00,Forklift,139.89,76.05,16.46,1180.14,4105.67,55.94,0.54,5000.0003,55.41,44.7
2026-06-19T11:01:39.637796+00:00,Forklift,101.09,72.81,26.94,677.93,2432.26,55.21,1.37,5000.0006,52.93,27.4
2026-06-19T11:01:40.637796+00:00,Forklift,124.3,74.91,43.17,834.98,4469.07,47.26,0.95,5000.0008,57.44,29.46
2026-06-19T11:01:41.637796+00:00,Forklift,134.47,81.11,44.86,1019.38,4362.43,42.14,1.18,5000.0011,62.14,30.5
2026-06-19T11:01:42.637796+00:00,Forklift,102.04,74.62,40.21,1288.9,2115.3,41.2,1.14,5000.0014,77.22,36.5
2026-06-19T11:01:43.637796+00:00,Forklift,125.93,89.11,27.87,789.1,3316.89,53.35,1.9,5000.0017,46.09,31.88
2026-06-19T11:01:44.637796+00:00,Forklift,120.47,76.28,38.8,1284.44,2153.71,51.94,1.72,5000.0019,43.58,28.53
2026-06-19T11:01:45.637796+00:00,Forklift,118.46,73.93,37.39,984.37,3229.04,40.03,1.6,5000.0022,69.94,38.91
2026-06-19T11:01:46.637796+00:00,Forklift,113.08,86.47,13.07,649.02,2000.06,45.9,1.58,5000.0025,72.47,35.57
2026-06-19T11:01:47.637796+00:00,Forklift,104.22,94.35,36.08,1042.89,3271.67,52.13,1.4,5000.0028,68.16,44.87
2026-06-19T11:01:48.637796+00:00,Forklift,118.92,85.43,47.98,1367.15,3891.67,51.96,0.72,5000.0031,56.3,33.87
2026-06-19T11:01:49.637796+00:00,Forklift,101.25,74.46,28.59,1346.92,3166.39,46.49,1.88,5000.0033,79.79,40.08
2026-06-19T11:01:50.637796+00:00,Forklift,108.2,73.89,37.64,685.2,2375.3,45.11,1.43,5000.0036,75.75,31.96
2026-06-19T11:01:51.637796+00:00,Forklift,100.32,94.01,18.4,1375.08,2814.0,47.72,1.63,5000.0039,48.57,31.18
2026-06-19T11:01:52.637796+00:00,Forklift,129.99,88.51,32.8,1181.36,3043.89,50.82,0.96,5000.0042,71.7,36.99
2026-06-19T11:01:53.637796+00:00,Forklift,118.21,75.59,22.91,988.04,3776.54,47.7,0.55,5000.0044,62.23,39.55
2026-06-19T11:01:54.637796+00:00,Forklift,148.31,87.07,22.92,533.4,3183.68,55.68,0.87,5000.0047,61.69,41.88
2026-06-19T11:01:55.637796+00:00,Forklift,132.75,88.78,30.78,1352.48,3253.35,54.72,1.43,5000.005,77.43,42.37
2026-06-19T11:01:56.637796+00:00,Forklift,138.67,80.1,37.63,1199.33,2991.39,41.22,1.46,5000.0053,79.18,31.72
2026-06-19T11:01:57.637796+00:00,Forklift,110.91,83.85,49.86,695.79,2628.18,53.05,1.96,5000.0056,70.24,37.36
2026-06-19T11:01:58.637796+00:00,Forklift,140.58,84.84,25.37,559.19,4190.71,58.13,1.53,5000.0058,64.67,29.08
2026-06-19T11:01:59.637796+00:00,Forklift,113.38,87.89,49.44,936.72,3233.6,57.13,1.56,5000.0061,88.14,26.58
2026-06-19T11:02:00.637796+00:00,Forklift,141.73,82.31,34.47,773.97,3199.98,50.05,0.95,5000.0064,71.63,25.2
2026-06-19T11:02:01.637796+00:00,Forklift,136.82,93.41,46.49,818.36,4220.83,42.94,1.15,5000.0067,79.04,35.64
2026-06-19T11:02:02.637796+00:00,Forklift,144.71,90.53,35.35,1244.9,3897.8,52.17,1.4,5000.0069,55.16,41.81
2026-06-19T11:02:03.637796+00:00,Forklift,103.4,91.05,25.64,1320.86,3202.4,51.49,1.96,5000.0072,87.76,43.3
2026-06-19T11:02:04.637796+00:00,Forklift,135.5,79.58,44.75,553.46,4449.59,46.97,1.45,5000.0075,56.58,30.31
2026-06-19T11:02:05.637796+00:00,Forklift,114.32,74.15,32.17,1459.42,4231.57,47.19,0.77,5000.0078,83.04,42.87
2026-06-19T11:02:06.637796+00:00,Forklift,121.95,85.16,40.34,1202.39,4197.41,41.51,0.65,5000.0081,67.09,38.55
2026-06-19T11:02:07.637796+00:00,Forklift,101.93,74.94,23.13,1353.93,2626.54,52.91,1.03,5000.0083,69.04,42.16
2026-06-19T11:02:08.637796+00:00,Forklift,112.87,76.94,49.68,1034.87,2824.28,52.41,0.93,5000.0086,70.69,32.01
2026-06-19T11:02:09.637796+00:00,Forklift,138.04,93.14,29.56,1261.71,3379.08,59.03,1.8,5000.0089,80.49,28.76
2026-06-19T11:02:10.637796+00:00,Forklift,137.82,88.68,12.95,1214.48,4267.81,44.06,1.77,5000.0092,81.03,43.1
2026-06-19T11:02:11.637796+00:00,Forklift,125.67,81.07,35.9,1386.95,2524.77,52.94,1.34,5000.0094,64.89,35.8
2026-06-19T11:02:12.637796+00:00,Forklift,141.54,76.78,15.02,1328.83,2707.41,40.77,1.72,5000.0097,72.34,34.96
2026-06-19T11:02:13.637796+00:00,Forklift,102.38,79.49,17.75,1269.89,2704.36,52.34,0.51,5000.01,69.7,44.2
2026-06-19T11:02:14.637796+00:00,Forklift,141.77,79.2,34.94,693.62,3585.19,56.11,1.75,5000.0103,84.7,32.96
2026-06-19T11:02:15.637796+00:00,Forklift,102.95,86.78,42.46,830.37,4408.27,50.73,1.75,5000.0106,75.39,37.86
2026-06-19T11:02:16.637796+00:00,Forklift,102.07,78.79,29.83,960.46,2282.06,52.36,1.78,5000.0108,55.02,29.63
2026-06-19T11:02:17.637796+00:00,Forklift,109.62,75.36,18.9,560.85,3462.45,53.64,1.57,5000.0111,85.97,34.1
2026-06-19T11:02:18.637796+00:00,Forklift,103.35,92.79,39.97,1057.83,2287.42,56.92,1.23,5000.0114,40.64,38.45
2026-06-19T11:02:19.637796+00:00,Forklift,102.2,73.46,27.86,1088.0,4356.61,40.8,1.75,5000.0117,54.91,30.92
2026-06-19T11:02:20.637796+00:00,Forklift,145.62,91.17,32.14,1436.45,3460.95,40.06,0.78,5000.0119,62.56,29.68
2026-06-19T11:02:21.637796+00:00,Forklift,146.27,87.84,36.43,972.41,3920.29,49.68,1.88,5000.0122,59.91,35.5
2026-06-19T11:02:22.637796+00:00,Forklift,131.64,93.34,44.93,1056.45,4174.27,59.7,1.54,5000.0125,42.13,25.32
2026-06-19T11:02:23.637796+00:00,Forklift,104.0,77.91,26.62,1318.27,3910.52,45.47,1.24,5000.0128,77.47,28.65
2026-06-19T11:02:24.637796+00:00,Forklift,139.42,77.71,17.25,551.37,2433.52,42.84,0.67,5000.0131,41.64,39.74
2026-06-19T11:02:25.637796+00:00,Forklift,121.79,93.48,24.52,790.08,3887.62,45.81,1.84,5000.0133,49.36,38.42
2026-06-19T11:02:26.637796+00:00,Forklift,105.52,78.17,34.41,1095.77,2013.21,43.46,0.91,5000.0136,55.43,36.95
2026-06-19T11:02:27.637796+00:00,Forklift,100.87,83.08,45.84,839.89,3909.06,56.82,0.75,5000.0139,55.52,36.59
