timestamp,Vehicle_Type,Hydraulic_Pressure,Oil_Temperature,Actuator_Angle,Actuator_Position,Load_Weight,Hydraulic_Flow_Rate,Vibration,Operating_Hours,Battery_SOC,Battery_Temperature
2026-06-19T11:01:37.643221+00:00,Backhoe,137.44,71.59,10.28,770.94,3156.64,45.62,1.31,5000.0,57.85,33.42
2026-06-19T11:01:38.643221+00:00,Backhoe,120.93,91.29,31.24,1160.0,3088.8,54.31,1.68,5000.0003,84.3,26.79
2026-06-19T11:01:39.643221+00:00,Backhoe,139.4,85.11,12.16,1218.18,3675.35,49.3,1.09,5000.0006,43.32,26.57
2026-06-19T11:01:40.643221+00:00,Backhoe,119.37,90.52,40.32,746.23,2399.69,41.71,1.54,5000.0008,40.0,41.48
2026-06-19T11:01:41.643221+00:00,Backhoe,132.77,78.69,44.34,1287.83,2324.42,50.22,1.16,5000.0011,58.56,29.43
2026-06-19T11:01:42.643221+00:00,Backhoe,119.86,81.69,23.73,1378.66,4133.53,53.85,1.08,5000.0014,55.68,29.13
2026-06-19T11:01:43.643221+00:00,Backhoe,118.93,78.86,35.76,1408.28,2964.02,49.67,1.61,5000.0017,68.06,39.4
2026-06-19T11:01:44.643221+00:00,Backhoe,117.71,78.85,21.96,672.28,3107.71,50.98,0.85,5000.0019,61.09,42.99
2026-06-19T11:01:45.643221+00:00,Backhoe,127.52,76.62,23.43,577.62,2630.36,54.73,1.25,5000.0022,48.36,30.86
2026-06-19T11:01:46.643221+00:00,Backhoe,104.28,76.51,49.86,838.94,4479.32,57.6,0.6,5000.0025,49.21,27.32
2026-06-19T11:01:47.643221+00:00,Backhoe,147.23,73.68,35.69,1218.67,2726.02,55.3,1.41,5000.0028,50.01,32.5
2026-06-19T11:01:48.643221+00:00,Backhoe,129.67,84.31,31.2,1350.03,2362.73,43.26,0.79,5000.0031,43.33,35.78
2026-06-19T11:01:49.643221+00:00,Backhoe,117.01,92.03,32.28,1419.52,2350.07,43.97,0.83,5000.0033,86.04,42.94
2026-06-19T11:01:50.643221+00:00,Backhoe,119.8,90.19,46.09,1303.22,3880.43,57.35,1.74,5000.0036,42.42,38.25
2026-06-19T11:01:51.643221+00:00,Backhoe,105.59,76.07,15.18,988.46,2141.67,46.76,1.78,5000.0039,60.7,31.72
2026-06-19T11:01:52.643221+00:00,Backhoe,108.86,94.6,42.73,643.57,3836.71,46.31,1.21,5000.0042,75.76,42.41
2026-06-19T11:01:53.643221+00:00,Backhoe,127.27,77.68,42.53,1038.56,2631.84,40.58,1.34,5000.0044,56.77,25.82
2026-06-19T11:01:54.643221+00:00,Backhoe,116.91,85.06,35.8,1359.81,2437.81,52.44,0.85,5000.0047,70.66,42.96
2026-06-19T11:01:55.643221+00:00,Backhoe,100.16,87.74,15.74,704.25,3435.73,59.59,1.68,5000.005,86.66,38.16
2026-06-19T11:01:56.643221+00:00,Backhoe,136.93,82.04,13.18,695.78,4194.61,55.66,1.15,5000.0053,60.75,37.14
2026-06-19T11:01:57.643221+00:00,Backhoe,145.97,73.64,41.84,1489.01,2958.38,49.06,0.54,5000.0056,58.43,42.41
2026-06-19T11:01:58.643221+00:00,Backhoe,144.41,83.82,12.35,1191.5,4033.68,48.95,1.26,5000.0058,55.9,42.33
2026-06-19T11:01:59.643221+00:00,Backhoe,148.06,80.33,17.65,585.88,2851.81,56.01,0.81,5000.0061,75.88,38.45
2026-06-19T11:02:00.643221+00:00,Backhoe,136.13,81.23,30.95,780.86,4358.35,59.68,1.47,5000.0064,74.71,36.74
