timestamp,Vehicle_Type,Hydraulic_Pressure,Oil_Temperature,Actuator_Angle,Actuator_Position,Load_Weight,Hydraulic_Flow_Rate,Vibration,Operating_Hours,Battery_SOC,Battery_Temperature
2026-06-19T11:01:37.646926+00:00,Crane,113.55,70.94,19.45,583.0,2926.96,47.18,1.87,5000.0,86.23,44.69
2026-06-19T11:01:38.646926+00:00,Crane,117.31,90.33,34.2,1337.75,3566.93,51.81,1.26,5000.0003,69.68,44.49
2026-06-19T11:01:39.646926+00:00,Crane,126.16,90.45,37.51,1105.13,2796.86,42.97,0.68,5000.0006,52.09,34.6
2026-06-19T11:01:40.646926+00:00,Crane,111.47,92.4,29.86,1360.14,2775.5,41.06,0.96,5000.0008,69.69,30.18
2026-06-19T11:01:41.646926+00:00,Crane,134.99,79.29,17.47,552.31,3936.1,40.55,0.97,5000.0011,51.38,28.69
2026-06-19T11:01:42.646926+00:00,Crane,109.7,87.03,17.1,942.72,4293.8,42.5,1.24,5000.0014,41.51,41.99
2026-06-19T11:01:43.646926+00:00,Crane,137.64,94.56,34.79,747.86,2198.58,51.1,1.73,5000.0017,60.82,37.9
2026-06-19T11:01:44.646926+00:00,Crane,146.1,76.27,18.05,1256.63,3652.62,54.63,1.88,5000.0019,88.51,35.99
2026-06-19T11:01:45.646926+00:00,Crane,100.88,73.16,17.73,623.19,3167.0,52.81,1.8,5000.0022,70.22,32.95
2026-06-19T11:01:46.646926+00:00,Crane,130.49,70.18,20.99,1076.15,2508.89,45.09,0.74,5000.0025,73.0,43.37
2026-06-19T11:01:47.646926+00:00,Crane,145.8,73.06,13.69,673.02,4430.7,59.35,1.96,5000.0028,45.01,39.59
2026-06-19T11:01:48.646926+00:00,Crane,106.95,74.55,34.98,945.94,2241.32,43.34,1.98,5000.0031,87.68,29.89
2026-06-19T11:01:49.646926+00:00,Crane,111.37,93.24,39.27,520.52,2058.55,40.48,1.03,5000.0033,64.36,34.34
2026-06-19T11:01:50.646926+00:00,Crane,134.61,88.36,29.29,761.68,4169.12,40.74,0.73,5000.0036,71.48,31.04
2026-06-19T11:01:51.646926+00:00,Crane,105.16,80.8,10.39,1492.1,2256.85,47.73,0.52,5000.0039,82.97,30.93
2026-06-19T11:01:52.646926+00:00,Crane,143.97,80.42,11.6,617.4,3678.23,59.57,0.5,5000.0042,48.73,27.67
2026-06-19T11:01:53.646926+00:00,Crane,143.15,72.0,27.33,1238.1,2475.39,54.87,1.72,5000.0044,54.03,28.59
2026-06-19T11:01:54.646926+00:00,Crane,120.26,79.01,28.73,806.68,2094.34,56.2,0.84,5000.0047,64.7,38.86
2026-06-19T11:01:55.646926+00:00,Crane,102.09,83.63,16.83,550.67,3673.06,59.6,1.6,5000.005,78.03,26.25
2026-06-19T11:01:56.646926+00:00,Crane,103.96,73.69,48.7,1448.58,2735.41,42.68,1.6,5000.0053,81.76,41.84
2026-06-19T11:01:57.646926+00:00,Crane,119.49,92.52,44.13,568.16,2214.12,56.31,1.66,5000.0056,82.22,42.74
2026-06-19T11:01:58.646926+00:00,Crane,140.07,74.81,37.84,701.67,2579.87,40.97,1.24,5000.0058,73.52,39.3
2026-06-19T11:01:59.646926+00:00,Crane,129.02,87.7,16.72,1084.76,3470.11,47.8,0.99,5000.0061,86.98,43.27
2026-06-19T11:02:00.646926+00:00,Crane,125.16,75.19,21.71,1296.05,4007.58,59.06,0.93,5000.0064,40.4,39.92
2026-06-19T11:02:01.646926+00:00,Crane,139.21,78.96,29.89,896.91,2232.28,54.06,1.11,5000.0067,52.87,26.04
2026-06-19T11:02:02.646926+00:00,Crane,147.0,73.85,10.37,613.79,3751.34,52.25,0.67,5000.0069,57.91,32.56
2026-06-19T11:02:03.646926+00:00,Crane,101.07,82.99,25.14,767.56,3909.06,51.13,1.9,5000.0072,70.0,26.51
2026-06-19T11:02:04.646926+00:00,Crane,132.39,78.84,36.91,514.09,4228.43,45.71,1.15,5000.0075,88.66,37.7
2026-06-19T11:02:05.646926+00:00,Crane,128.49,75.52,16.92,751.31,2631.15,40.38,1.46,5000.0078,48.79,31.73
2026-06-19T11:02:06.646926+00:00,Crane,144.47,71.51,34.07,1029.4,4363.41,48.45,0.59,5000.0081,57.59,38.06
2026-06-19T11:02:07.646926+00:00,Crane,129.98,74.51,45.51,1246.2,4187.57,53.07,1.79,5000.0083,50.41,36.2
2026-06-19T11:02:08.646926+00:00,Crane,120.95,80.83,47.34,918.26,2291.02,50.38,1.99,5000.0086,83.17,40.19
2026-06-19T11:02:09.646926+00:00,Crane,100.06,70.34,40.76,1090.65,2089.81,41.27,1.42,5000.0089,69.2,25.35
