timestamp,Vehicle_Type,Hydraulic_Pressure,Oil_Temperature,Actuator_Angle,Actuator_Position,Load_Weight,Hydraulic_Flow_Rate,Vibration,Operating_Hours,Battery_SOC,Battery_Temperature
2026-06-20T11:52:13.324536+00:00,DumpTruck,132.23,50.25,24.53,758.69,2156.87,48.2,0.29,2500.0,76.77,34.95
2026-06-20T11:52:14.324536+00:00,DumpTruck,122.48,52.19,25.54,772.04,2017.98,50.04,0.26,2500.0003,76.5,32.8
2026-06-20T11:52:15.324536+00:00,DumpTruck,134.95,50.06,22.56,783.66,2182.89,52.45,0.39,2500.0006,71.55,33.36
2026-06-20T11:52:16.324536+00:00,DumpTruck,123.55,58.47,25.31,787.85,2189.25,50.83,0.41,2500.0008,75.36,34.92
2026-06-20T11:52:17.324536+00:00,DumpTruck,135.27,56.19,22.48,778.94,1891.16,52.89,0.37,2500.0011,70.46,34.82
2026-06-20T11:52:18.324536+00:00,DumpTruck,125.72,51.01,27.62,776.7,1883.8,48.22,0.38,2500.0014,73.7,33.46
2026-06-20T11:52:19.324536+00:00,DumpTruck,132.37,56.09,25.34,814.0,2195.81,47.37,0.4,2500.0017,73.79,32.65
2026-06-20T11:52:20.324536+00:00,DumpTruck,132.95,58.43,27.66,771.1,1907.1,52.21,0.3,2500.0019,73.15,32.13
2026-06-20T11:52:21.324536+00:00,DumpTruck,136.02,53.15,25.37,774.66,1905.95,51.24,0.33,2500.0022,74.59,35.66
2026-06-20T11:52:22.324536+00:00,DumpTruck,126.2,55.85,22.28,759.09,2003.81,53.18,0.33,2500.0025,79.98,32.88
2026-06-20T11:52:23.324536+00:00,DumpTruck,123.75,56.27,27.83,802.91,2198.45,52.34,0.33,2500.0028,73.82,32.25
2026-06-20T11:52:24.324536+00:00,DumpTruck,135.77,50.11,24.61,761.16,2056.38,51.77,0.39,2500.0031,72.67,34.15
2026-06-20T11:52:25.324536+00:00,DumpTruck,129.26,59.54,23.79,837.05,2165.05,53.01,0.3,2500.0033,71.79,34.0
2026-06-20T11:52:26.324536+00:00,DumpTruck,132.22,56.09,23.94,750.06,2012.14,47.22,0.4,2500.0036,77.79,34.16
2026-06-20T11:52:27.324536+00:00,DumpTruck,122.31,59.29,22.51,844.69,2151.2,53.03,0.42,2500.0039,70.58,33.23
2026-06-20T11:52:28.324536+00:00,DumpTruck,129.78,50.69,27.23,776.51,2019.92,52.08,0.4,2500.0042,74.75,32.51
2026-06-20T11:52:29.324536+00:00,DumpTruck,128.77,52.12,24.63,814.99,2198.06,50.31,0.4,2500.0044,73.12,32.8
2026-06-20T11:52:30.324536+00:00,DumpTruck,130.28,51.21,25.79,757.1,1888.09,47.8,0.32,2500.0047,72.3,34.35
2026-06-20T11:52:31.324536+00:00,DumpTruck,125.66,59.05,27.61,763.23,1885.69,52.88,0.26,2500.005,76.69,32.95
2026-06-20T11:52:32.324536+00:00,DumpTruck,131.14,54.73,24.8,792.36,1972.42,52.28,0.41,2500.0053,70.97,32.76
2026-06-20T11:52:33.324536+00:00,DumpTruck,133.67,56.73,23.14,774.87,2144.67,53.87,0.27,2500.0056,73.39,33.61
2026-06-20T11:52:34.324536+00:00,DumpTruck,129.18,54.22,22.3,805.03,2144.54,48.23,0.3,2500.0058,74.43,35.69
2026-06-20T11:52:35.324536+00:00,DumpTruck,137.99,58.36,24.41,771.37,1994.26,53.75,0.44,2500.0061,71.66,35.39
2026-06-20T11:52:36.324536+00:00,DumpTruck,122.94,53.79,27.97,845.73,1969.2,53.88,0.3,2500.0064,74.55,35.14
2026-06-20T11:52:37.324536+00:00,DumpTruck,130.89,57.18,22.34,824.8,2016.88,47.24,0.31,2500.0067,75.79,35.87
2026-06-20T11:52:38.324536+00:00,DumpTruck,131.35,55.03,26.05,809.5,1874.33,52.82,0.28,2500.0069,70.8,35.84
2026-06-20T11:52:39.324536+00:00,DumpTruck,125.76,51.2,25.14,808.37,1967.69,53.12,0.3,2500.0072,76.19,34.38
2026-06-20T11:52:40.324536+00:00,DumpTruck,136.96,52.04,26.51,781.62,1920.0,51.73,0.3,2500.0075,76.72,33.58
2026-06-20T11:52:41.324536+00:00,DumpTruck,123.16,54.58,27.29,843.33,1906.08,53.99,0.45,2500.0078,72.13,32.29
