timestamp,Vehicle_Type,Hydraulic_Pressure,Oil_Temperature,Actuator_Angle,Actuator_Position,Load_Weight,Hydraulic_Flow_Rate,Vibration,Operating_Hours,Battery_SOC,Battery_Temperature
2026-06-20T12:03:36.055409+00:00,WheelLoader,129.48,54.79,25.22,801.16,1795.25,49.48,0.33,1200.0,79.23,33.32
2026-06-20T12:03:37.055409+00:00,WheelLoader,130.0,55.2,25.01,806.27,1734.54,50.7,0.31,1200.0003,80.91,32.53
2026-06-20T12:03:38.055409+00:00,WheelLoader,129.46,54.82,24.16,793.83,1741.0,49.17,0.27,1200.0006,80.07,33.28
2026-06-20T12:03:39.055409+00:00,WheelLoader,129.81,55.21,25.49,804.79,1896.42,50.41,0.31,1200.0008,80.68,32.58
2026-06-20T12:03:40.055409+00:00,WheelLoader,129.88,55.03,25.55,798.9,1721.3,49.16,0.26,1200.0011,80.08,33.28
2026-06-20T12:03:41.055409+00:00,WheelLoader,131.31,54.83,25.06,808.92,1850.21,49.11,0.26,1200.0014,80.95,33.34
2026-06-20T12:03:42.055409+00:00,WheelLoader,130.71,54.91,24.08,799.92,1707.02,50.54,0.3,1200.0017,80.89,32.88
2026-06-20T12:03:43.055409+00:00,WheelLoader,128.85,54.76,25.38,799.43,1711.19,50.97,0.35,1200.0019,80.38,33.41
2026-06-20T12:03:44.055409+00:00,WheelLoader,128.78,54.99,24.12,801.51,1850.15,50.69,0.28,1200.0022,80.85,33.42
2026-06-20T12:03:45.055409+00:00,WheelLoader,130.77,54.99,24.78,792.27,1884.87,49.05,0.33,1200.0025,79.18,32.51
2026-06-20T12:03:46.055409+00:00,WheelLoader,128.91,54.84,25.92,790.5,1732.85,49.52,0.34,1200.0028,79.17,33.27
2026-06-20T12:03:47.055409+00:00,WheelLoader,129.64,54.76,25.68,795.36,1797.9,50.96,0.3,1200.0031,80.2,33.21
2026-06-20T12:03:48.055409+00:00,WheelLoader,129.39,54.78,24.04,791.42,1818.37,49.55,0.31,1200.0033,79.38,32.95
2026-06-20T12:03:49.055409+00:00,WheelLoader,131.13,54.98,24.77,809.03,1733.07,50.02,0.26,1200.0036,80.56,33.18
2026-06-20T12:03:50.055409+00:00,WheelLoader,130.59,55.22,25.73,795.02,1785.62,50.54,0.3,1200.0039,80.66,32.69
2026-06-20T12:03:51.055409+00:00,WheelLoader,129.47,55.15,24.96,810.0,1850.97,50.83,0.34,1200.0042,80.94,33.28
2026-06-20T12:03:52.055409+00:00,WheelLoader,130.07,55.12,25.12,804.93,1775.71,50.01,0.33,1200.0044,80.74,32.9
2026-06-20T12:03:53.055409+00:00,WheelLoader,128.74,55.05,25.82,790.98,1856.31,50.35,0.28,1200.0047,79.72,32.65
2026-06-20T12:03:54.055409+00:00,WheelLoader,130.53,54.86,25.65,802.79,1817.3,49.11,0.31,1200.005,80.44,32.52
2026-06-20T12:03:55.055409+00:00,WheelLoader,131.41,54.75,25.4,791.73,1891.02,49.12,0.27,1200.0053,80.25,33.02
2026-06-20T12:03:56.055409+00:00,WheelLoader,130.36,55.21,25.96,798.09,1729.77,50.7,0.3,1200.0056,80.5,32.55
2026-06-20T12:03:57.055409+00:00,WheelLoader,128.51,55.26,25.64,806.15,1856.99,49.06,0.26,1200.0058,79.08,33.28
2026-06-20T12:03:58.055409+00:00,WheelLoader,130.97,55.13,24.78,809.81,1810.13,50.09,0.31,1200.0061,79.14,33.17
2026-06-20T12:03:59.055409+00:00,WheelLoader,129.94,55.26,25.15,793.8,1793.75,50.08,0.27,1200.0064,79.64,33.27
2026-06-20T12:04:00.055409+00:00,WheelLoader,130.48,54.88,25.99,802.28,1742.34,50.11,0.29,1200.0067,80.39,32.7
2026-06-20T12:04:01.055409+00:00,WheelLoader,129.52,54.84,24.71,794.26,1856.99,50.29,0.32,1200.0069,80.0,32.69
2026-06-20T12:04:02.055409+00:00,WheelLoader,130.51,54.99,25.88,794.79,1760.49,50.66,0.27,1200.0072,79.89,33.03
2026-06-20T12:04:03.055409+00:00,WheelLoader,129.34,55.11,25.23,800.43,1783.81,49.35,0.32,1200.0075,79.59,32.51
2026-06-20T12:04:04.055409+00:00,WheelLoader,130.91,54.93,25.79,808.3,1794.55,50.37,0.34,1200.0078,80.08,33.3
2026-06-20T12:04:05.055409+00:00,WheelLoader,129.79,55.11,25.74,798.77,1889.36,50.5,0.34,1200.0081,80.19,32.52
2026-06-20T12:04:06.055409+00:00,WheelLoader,128.73,54.79,24.7,807.2,1819.55,49.66,0.25,1200.0083,80.31,33.47
2026-06-20T12:04:07.055409+00:00,WheelLoader,131.22,54.85,25.81,791.85,1771.45,49.33,0.29,1200.0086,79.59,32.99
2026-06-20T12:04:08.055409+00:00,WheelLoader,129.02,55.08,24.4,798.63,1801.95,49.85,0.33,1200.0089,80.18,32.52
2026-06-20T12:04:09.055409+00:00,WheelLoader,131.3,54.99,25.45,790.6,1704.36,49.97,0.25,1200.0092,79.85,33.11
2026-06-20T12:04:10.055409+00:00,WheelLoader,130.11,55.1,24.06,807.47,1816.85,50.74,0.28,1200.0094,80.04,33.01
2026-06-20T12:04:11.055409+00:00,WheelLoader,130.65,55.03,24.11,808.96,1755.48,49.33,0.31,1200.0097,80.59,33.33
2026-06-20T12:04:12.055409+00:00,WheelLoader,129.07,54.93,24.9,800.9,1749.03,50.28,0.26,1200.01,79.96,33.21
2026-06-20T12:04:13.055409+00:00,WheelLoader,129.89,55.15,25.91,805.86,1756.78,49.74,0.29,1200.0103,79.99,32.62
2026-06-20T12:04:14.055409+00:00,WheelLoader,129.93,55.16,25.11,809.35,1708.82,50.48,0.28,1200.0106,80.6,32.73
2026-06-20T12:04:15.055409+00:00,WheelLoader,131.05,54.99,24.46,809.67,1849.21,49.85,0.31,1200.0108,79.41,32.59
2026-06-20T12:04:16.055409+00:00,WheelLoader,129.41,55.27,24.99,801.89,1766.7,49.47,0.33,1200.0111,79.23,33.26
2026-06-20T12:04:17.055409+00:00,WheelLoader,129.73,54.85,25.61,797.31,1703.2,49.37,0.3,1200.0114,79.1,33.32
2026-06-20T12:04:18.055409+00:00,WheelLoader,128.77,54.78,24.94,809.11,1719.17,49.56,0.3,1200.0117,80.72,33.44
2026-06-20T12:04:19.055409+00:00,WheelLoader,131.39,54.77,25.85,805.11,1883.05,49.37,0.29,1200.0119,80.87,33.26
2026-06-20T12:04:20.055409+00:00,WheelLoader,131.39,54.8,25.45,798.25,1788.4,50.04,0.32,1200.0122,79.58,32.52
2026-06-20T12:04:21.055409+00:00,WheelLoader,130.47,54.72,25.59,803.42,1842.01,50.98,0.25,1200.0125,80.36,32.98
2026-06-20T12:04:22.055409+00:00,WheelLoader,129.81,55.25,25.67,806.24,1884.06,49.77,0.32,1200.0128,79.26,33.3
2026-06-20T12:04:23.055409+00:00,WheelLoader,130.28,55.01,24.05,803.35,1720.92,50.81,0.27,1200.0131,80.36,33.04
2026-06-20T12:04:24.055409+00:00,WheelLoader,129.42,55.19,25.55,800.54,1836.39,49.22,0.25,1200.0133,79.26,32.78
2026-06-20T12:04:25.055409+00:00,WheelLoader,130.31,54.83,24.05,797.95,1776.07,50.04,0.32,1200.0136,79.86,33.27
2026-06-20T12:04:26.055409+00:00,WheelLoader,129.68,55.25,24.72,806.01,1874.97,49.85,0.31,1200.0139,79.31,32.6
2026-06-20T12:04:27.055409+00:00,WheelLoader,130.75,54.7,24.13,791.34,1727.58,49.31,0.31,1200.0142,79.91,33.46
2026-06-20T12:04:28.055409+00:00,WheelLoader,130.88,54.95,25.65,808.01,1746.46,49.54,0.33,1200.0144,80.82,32.8
2026-06-20T12:04:29.055409+00:00,WheelLoader,129.71,55.02,24.62,792.4,1898.7,49.72,0.3,1200.0147,80.36,33.2
2026-06-20T12:04:30.055409+00:00,WheelLoader,131.48,54.72,24.15,798.62,1743.56,50.64,0.33,1200.015,80.53,32.59
2026-06-20T12:04:31.055409+00:00,WheelLoader,131.13,55.23,24.41,791.71,1755.84,49.58,0.29,1200.0153,80.38,32.53
2026-06-20T12:04:32.055409+00:00,WheelLoader,129.99,55.23,25.33,805.61,1777.04,49.95,0.34,1200.0156,79.69,33.19
2026-06-20T12:04:33.055409+00:00,WheelLoader,130.98,54.93,24.44,793.21,1811.15,50.67,0.31,1200.0158,80.28,32.74
2026-06-20T12:04:34.055409+00:00,WheelLoader,128.6,54.71,24.08,796.06,1824.95,50.93,0.34,1200.0161,79.81,33.45
2026-06-20T12:04:35.055409+00:00,WheelLoader,129.19,55.01,25.92,799.21,1778.47,50.02,0.32,1200.0164,79.02,32.79
2026-06-20T12:04:36.055409+00:00,WheelLoader,129.7,54.96,25.15,803.75,1884.04,50.69,0.35,1200.0167,79.05,33.02
2026-06-20T12:04:37.055409+00:00,WheelLoader,131.12,54.98,24.55,796.76,1758.92,49.11,0.25,1200.0169,80.55,32.61
2026-06-20T12:04:38.055409+00:00,WheelLoader,129.5,54.95,24.84,791.25,1878.96,49.26,0.33,1200.0172,79.71,33.05
2026-06-20T12:04:39.055409+00:00,WheelLoader,129.06,54.78,25.44,800.05,1861.32,50.58,0.33,1200.0175,80.66,33.05
2026-06-20T12:04:40.055409+00:00,WheelLoader,129.14,55.11,25.02,803.12,1780.26,50.12,0.33,1200.0178,80.9,32.67
2026-06-20T12:04:41.055409+00:00,WheelLoader,130.82,54.98,24.98,805.11,1831.48,49.78,0.27,1200.0181,80.86,33.14
2026-06-20T12:04:42.055409+00:00,WheelLoader,129.91,54.8,25.14,791.96,1703.32,49.08,0.34,1200.0183,79.95,32.81
