timestamp,Vehicle_Type,Hydraulic_Pressure,Oil_Temperature,Actuator_Angle,Actuator_Position,Load_Weight,Hydraulic_Flow_Rate,Vibration,Operating_Hours,Battery_SOC,Battery_Temperature
2026-06-19T10:16:44.611211+00:00,Excavator,276.91,77.76,22.55,1110.53,3345.45,20.7,4.53,5000.0,56.24,41.05
2026-06-19T10:16:45.611211+00:00,Excavator,317.87,91.32,13.17,1385.1,3229.6,59.17,3.77,5000.0003,88.95,29.24
2026-06-19T10:16:46.611211+00:00,Excavator,253.16,79.27,26.36,946.51,3336.03,51.13,2.43,5000.0006,75.28,33.21
2026-06-19T10:16:47.611211+00:00,Excavator,277.6,83.79,13.75,982.76,3799.01,53.02,3.45,5000.0008,86.44,26.85
2026-06-19T10:16:48.611211+00:00,Excavator,277.61,87.82,39.16,1100.73,3502.8,40.17,3.08,5000.0011,67.38,32.56
2026-06-19T10:16:49.611211+00:00,Excavator,270.89,72.27,34.86,924.19,3355.9,33.37,2.68,5000.0014,64.14,27.69
2026-06-19T10:16:50.611211+00:00,Excavator,311.14,92.38,10.77,1203.33,3255.64,32.79,4.64,5000.0017,60.68,26.2
2026-06-19T10:16:51.611211+00:00,Excavator,293.64,70.59,36.12,1160.48,3396.81,43.09,2.61,5000.0019,45.76,43.84
2026-06-19T10:16:52.611211+00:00,Excavator,290.33,91.77,22.77,912.49,2283.39,57.57,3.38,5000.0022,75.05,25.12
2026-06-19T10:16:53.611211+00:00,Excavator,319.52,91.92,31.27,781.78,2788.62,24.85,2.53,5000.0025,61.89,37.42
2026-06-19T10:16:54.611211+00:00,Excavator,284.68,77.67,23.82,563.64,2574.78,36.86,4.8,5000.0028,44.44,44.12
2026-06-19T10:16:55.611211+00:00,Excavator,264.64,80.4,15.99,1460.71,2799.51,28.88,4.65,5000.0031,46.72,43.63
2026-06-19T10:16:56.611211+00:00,Excavator,319.37,88.05,22.17,704.93,2408.62,25.75,2.96,5000.0033,48.55,25.01
2026-06-19T10:16:57.611211+00:00,Excavator,300.27,81.55,10.86,884.75,3326.05,59.57,3.75,5000.0036,71.57,32.85
2026-06-19T10:16:58.611211+00:00,Excavator,274.3,82.74,44.0,1037.45,4216.56,34.86,3.36,5000.0039,86.08,39.31
